HINDEKS,DINDEKS,ART,TID,INDHOLD
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1987,60.0
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1987,60.0
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1987,60.0
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1988,63.1
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1988,63.1
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1988,63.1
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1989,66.6
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1989,66.6
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1989,66.6
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1990,69.9
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1990,69.9
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1990,69.9
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1991,72.3
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1991,72.3
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1991,72.3
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1992,74.4
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1992,74.4
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1992,74.4
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1993,75.8
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1993,75.8
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1993,75.8
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1994,77.6
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1994,77.6
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1994,77.6
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1995,80.7
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1995,80.7
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1995,80.7
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1996,82.9
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1996,82.9
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1996,82.9
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1997,85.2
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1997,85.2
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1997,85.2
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1998,87.7
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1998,87.7
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1998,87.7
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,1999,90.7
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,1999,90.7
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,1999,90.7
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2000,92.8
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2000,92.8
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2000,92.8
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2001,96.2
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2001,96.2
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2001,96.2
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2002,98.3
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2002,98.3
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2002,98.3
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2003,100.9
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2003,101.0
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2003,100.8
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2004,102.9
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2004,103.0
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2004,102.4
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2005,105.3
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2005,105.1
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2005,106.3
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2006,110.3
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2006,110.0
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2006,111.4
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2007,117.3
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2007,117.1
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2007,118.2
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2008,120.7
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2008,120.0
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2008,123.6
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2009,120.2
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2009,119.7
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2009,122.3
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2010,121.6
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2010,121.3
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2010,122.8
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2011,126.0
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2011,125.6
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2011,127.4
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2012,129.3
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2012,129.0
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2012,130.3
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2013,131.1
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2013,130.9
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2013,131.9
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2014,133.2
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2014,133.1
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2014,133.8
Construction Cost Index for residential buildings,"Construction Cost Index, total",Total,2015,135.7
Construction Cost index for one-family houses,"Construction Cost Index, total",Total,2015,135.8
Construction Cost Index for multi-family houses,"Construction Cost Index, total",Total,2015,135.6
