REGION,EJKAT20,TAL,TID,INDHOLD
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2007Q4,81.0
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2007Q4,64.5
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2005Q3,64.8
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2005Q3,57.8
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2012Q3,64.9
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2012Q3,55.8
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2019Q4,85.1
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2019Q4,86.2
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2025Q1,104.6
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2025Q1,107.3
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2005Q1,58.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2005Q1,50.6
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2013Q4,67.2
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2013Q4,60.8
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2018Q2,81.5
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2018Q2,84.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2008Q1,80.2
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2008Q1,63.7
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2006Q2,77.8
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2006Q2,71.2
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2018Q3,81.8
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2018Q3,84.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2025Q3,107.7
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2025Q3,112.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2016Q2,74.4
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2016Q2,74.3
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2014Q4,69.3
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2014Q4,64.9
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2007Q3,81.2
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2007Q3,66.2
All Denmark,One-family houses,"Priceindex, seasonally adjusted",2016Q4,76.3
All Denmark,"Owner-occupied flats, total","Priceindex, seasonally adjusted",2016Q4,77.2
