DATA,INDSEK,VALUTA,LØBETID1,RENTFIX,LAANSTR,TID,INDHOLD
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M01,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M02,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M03,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M04,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M05,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M06,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M07,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M08,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M09,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M10,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M11,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2003M12,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M01,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M02,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M03,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M04,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M05,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M06,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M07,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M08,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M09,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M10,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M11,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2004M12,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M01,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M02,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M03,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M04,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M05,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M06,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M07,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M08,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M09,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M10,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M11,..
Annualised agreed rate incl. administration rate (per cent) (not indexed), - 1430: Households - employees etc. ,- of which DKK,All maturities,All interest rate fixation periods,Alle sizes of loans,2005M12,..
