OMRÅDE,KØN,ALDER,CIVILSTAND,TID,INDHOLD
All Denmark,Men,"Age, total",Total,2008Q1,2712666
All Denmark,Women,"Age, total",Total,2008Q1,2763125
All Denmark,Total,"Age, total",Total,2008Q1,5475791
All Denmark,Men,"Age, total",Total,2008Q2,2716310
All Denmark,Women,"Age, total",Total,2008Q2,2765956
All Denmark,Total,"Age, total",Total,2008Q2,5482266
All Denmark,Men,"Age, total",Total,2008Q3,2720016
All Denmark,Women,"Age, total",Total,2008Q3,2769006
All Denmark,Total,"Age, total",Total,2008Q3,5489022
All Denmark,Men,"Age, total",Total,2008Q4,2728759
All Denmark,Women,"Age, total",Total,2008Q4,2777236
All Denmark,Total,"Age, total",Total,2008Q4,5505995
All Denmark,Men,"Age, total",Total,2009Q1,2732020
All Denmark,Women,"Age, total",Total,2009Q1,2779431
All Denmark,Total,"Age, total",Total,2009Q1,5511451
All Denmark,Men,"Age, total",Total,2009Q2,2733838
All Denmark,Women,"Age, total",Total,2009Q2,2781449
All Denmark,Total,"Age, total",Total,2009Q2,5515287
All Denmark,Men,"Age, total",Total,2009Q3,2735983
All Denmark,Women,"Age, total",Total,2009Q3,2783458
All Denmark,Total,"Age, total",Total,2009Q3,5519441
All Denmark,Men,"Age, total",Total,2009Q4,2742016
All Denmark,Women,"Age, total",Total,2009Q4,2790515
All Denmark,Total,"Age, total",Total,2009Q4,5532531
All Denmark,Men,"Age, total",Total,2010Q1,2743286
All Denmark,Women,"Age, total",Total,2010Q1,2791452
All Denmark,Total,"Age, total",Total,2010Q1,5534738
All Denmark,Men,"Age, total",Total,2010Q2,2745983
All Denmark,Women,"Age, total",Total,2010Q2,2794258
All Denmark,Total,"Age, total",Total,2010Q2,5540241
All Denmark,Men,"Age, total",Total,2010Q3,2748185
All Denmark,Women,"Age, total",Total,2010Q3,2795634
All Denmark,Total,"Age, total",Total,2010Q3,5543819
All Denmark,Men,"Age, total",Total,2010Q4,2754901
All Denmark,Women,"Age, total",Total,2010Q4,2802808
All Denmark,Total,"Age, total",Total,2010Q4,5557709
All Denmark,Men,"Age, total",Total,2011Q1,2756582
All Denmark,Women,"Age, total",Total,2011Q1,2804046
All Denmark,Total,"Age, total",Total,2011Q1,5560628
All Denmark,Men,"Age, total",Total,2011Q2,2758469
All Denmark,Women,"Age, total",Total,2011Q2,2805750
All Denmark,Total,"Age, total",Total,2011Q2,5564219
All Denmark,Men,"Age, total",Total,2011Q3,2760140
All Denmark,Women,"Age, total",Total,2011Q3,2806716
All Denmark,Total,"Age, total",Total,2011Q3,5566856
All Denmark,Men,"Age, total",Total,2011Q4,2766178
All Denmark,Women,"Age, total",Total,2011Q4,2813026
All Denmark,Total,"Age, total",Total,2011Q4,5579204
All Denmark,Men,"Age, total",Total,2012Q1,2766776
All Denmark,Women,"Age, total",Total,2012Q1,2813740
All Denmark,Total,"Age, total",Total,2012Q1,5580516
All Denmark,Men,"Age, total",Total,2012Q2,2769246
All Denmark,Women,"Age, total",Total,2012Q2,2815512
All Denmark,Total,"Age, total",Total,2012Q2,5584758
All Denmark,Men,"Age, total",Total,2012Q3,2771208
All Denmark,Women,"Age, total",Total,2012Q3,2815877
All Denmark,Total,"Age, total",Total,2012Q3,5587085
All Denmark,Men,"Age, total",Total,2012Q4,2777141
All Denmark,Women,"Age, total",Total,2012Q4,2822524
All Denmark,Total,"Age, total",Total,2012Q4,5599665
All Denmark,Men,"Age, total",Total,2013Q1,2778852
All Denmark,Women,"Age, total",Total,2013Q1,2823776
All Denmark,Total,"Age, total",Total,2013Q1,5602628
All Denmark,Men,"Age, total",Total,2013Q2,2780576
All Denmark,Women,"Age, total",Total,2013Q2,2825260
All Denmark,Total,"Age, total",Total,2013Q2,5605836
All Denmark,Men,"Age, total",Total,2013Q3,2782661
All Denmark,Women,"Age, total",Total,2013Q3,2826123
All Denmark,Total,"Age, total",Total,2013Q3,5608784
All Denmark,Men,"Age, total",Total,2013Q4,2789802
All Denmark,Women,"Age, total",Total,2013Q4,2833699
All Denmark,Total,"Age, total",Total,2013Q4,5623501
All Denmark,Men,"Age, total",Total,2014Q1,2792279
All Denmark,Women,"Age, total",Total,2014Q1,2834956
All Denmark,Total,"Age, total",Total,2014Q1,5627235
All Denmark,Men,"Age, total",Total,2014Q2,2796126
All Denmark,Women,"Age, total",Total,2014Q2,2838311
All Denmark,Total,"Age, total",Total,2014Q2,5634437
All Denmark,Men,"Age, total",Total,2014Q3,2799895
All Denmark,Women,"Age, total",Total,2014Q3,2839824
All Denmark,Total,"Age, total",Total,2014Q3,5639719
All Denmark,Men,"Age, total",Total,2014Q4,2808057
All Denmark,Women,"Age, total",Total,2014Q4,2847693
All Denmark,Total,"Age, total",Total,2014Q4,5655750
All Denmark,Men,"Age, total",Total,2015Q1,2811014
All Denmark,Women,"Age, total",Total,2015Q1,2848701
All Denmark,Total,"Age, total",Total,2015Q1,5659715
All Denmark,Men,"Age, total",Total,2015Q2,2816338
All Denmark,Women,"Age, total",Total,2015Q2,2852405
All Denmark,Total,"Age, total",Total,2015Q2,5668743
All Denmark,Men,"Age, total",Total,2015Q3,2822535
All Denmark,Women,"Age, total",Total,2015Q3,2855813
All Denmark,Total,"Age, total",Total,2015Q3,5678348
All Denmark,Men,"Age, total",Total,2015Q4,2833122
All Denmark,Women,"Age, total",Total,2015Q4,2866098
All Denmark,Total,"Age, total",Total,2015Q4,5699220
All Denmark,Men,"Age, total",Total,2016Q1,2837887
All Denmark,Women,"Age, total",Total,2016Q1,2869364
All Denmark,Total,"Age, total",Total,2016Q1,5707251
All Denmark,Men,"Age, total",Total,2016Q2,2843085
All Denmark,Women,"Age, total",Total,2016Q2,2873929
All Denmark,Total,"Age, total",Total,2016Q2,5717014
All Denmark,Men,"Age, total",Total,2016Q3,2848030
All Denmark,Women,"Age, total",Total,2016Q3,2876426
All Denmark,Total,"Age, total",Total,2016Q3,5724456
All Denmark,Men,"Age, total",Total,2016Q4,2858042
All Denmark,Women,"Age, total",Total,2016Q4,2887484
All Denmark,Total,"Age, total",Total,2016Q4,5745526
All Denmark,Men,"Age, total",Total,2017Q1,2860178
All Denmark,Women,"Age, total",Total,2017Q1,2888591
All Denmark,Total,"Age, total",Total,2017Q1,5748769
All Denmark,Men,"Age, total",Total,2017Q2,2863948
All Denmark,Women,"Age, total",Total,2017Q2,2892222
All Denmark,Total,"Age, total",Total,2017Q2,5756170
All Denmark,Men,"Age, total",Total,2017Q3,2866952
All Denmark,Women,"Age, total",Total,2017Q3,2893742
All Denmark,Total,"Age, total",Total,2017Q3,5760694
All Denmark,Men,"Age, total",Total,2017Q4,2875257
All Denmark,Women,"Age, total",Total,2017Q4,2903313
All Denmark,Total,"Age, total",Total,2017Q4,5778570
All Denmark,Men,"Age, total",Total,2018Q1,2876473
All Denmark,Women,"Age, total",Total,2018Q1,2904717
All Denmark,Total,"Age, total",Total,2018Q1,5781190
All Denmark,Men,"Age, total",Total,2018Q2,2878745
All Denmark,Women,"Age, total",Total,2018Q2,2907119
All Denmark,Total,"Age, total",Total,2018Q2,5785864
All Denmark,Men,"Age, total",Total,2018Q3,2881620
All Denmark,Women,"Age, total",Total,2018Q3,2908337
All Denmark,Total,"Age, total",Total,2018Q3,5789957
All Denmark,Men,"Age, total",Total,2018Q4,2888726
All Denmark,Women,"Age, total",Total,2018Q4,2917289
All Denmark,Total,"Age, total",Total,2018Q4,5806015
