OMRÅDE,ALDER,KØN,TID,INDHOLD
All Denmark,"Age, total",Total,2017M07,4.0
All Denmark,"Age, total",Total,2017M08,4.1
All Denmark,"Age, total",Total,2017M09,3.9
All Denmark,"Age, total",Total,2017M10,4.0
All Denmark,"Age, total",Total,2017M11,4.0
All Denmark,"Age, total",Total,2017M12,4.1
All Denmark,"Age, total",Total,2018M01,4.2
All Denmark,"Age, total",Total,2018M02,4.2
All Denmark,"Age, total",Total,2018M03,4.1
All Denmark,"Age, total",Total,2018M04,3.7
All Denmark,"Age, total",Total,2018M05,3.6
All Denmark,"Age, total",Total,2018M06,3.5
All Denmark,"Age, total",Total,2018M07,3.4
All Denmark,"Age, total",Total,2018M08,3.6
All Denmark,"Age, total",Total,2018M09,3.5
All Denmark,"Age, total",Total,2018M10,3.6
All Denmark,"Age, total",Total,2018M11,3.6
All Denmark,"Age, total",Total,2018M12,3.7
All Denmark,"Age, total",Total,2019M01,3.9
All Denmark,"Age, total",Total,2019M02,3.9
All Denmark,"Age, total",Total,2019M03,3.8
All Denmark,"Age, total",Total,2019M04,3.4
All Denmark,"Age, total",Total,2019M05,3.4
All Denmark,"Age, total",Total,2019M06,3.4
All Denmark,"Age, total",Total,2019M07,3.4
All Denmark,"Age, total",Total,2019M08,3.5
All Denmark,"Age, total",Total,2019M09,3.4
All Denmark,"Age, total",Total,2019M10,3.5
All Denmark,"Age, total",Total,2019M11,3.6
All Denmark,"Age, total",Total,2019M12,3.7
All Denmark,"Age, total",Total,2020M01,3.9
All Denmark,"Age, total",Total,2020M02,3.9
All Denmark,"Age, total",Total,2020M03,4.2
All Denmark,"Age, total",Total,2020M04,4.9
All Denmark,"Age, total",Total,2020M05,5.1
All Denmark,"Age, total",Total,2020M06,5.0
All Denmark,"Age, total",Total,2020M07,4.8
All Denmark,"Age, total",Total,2020M08,4.6
All Denmark,"Age, total",Total,2020M09,4.4
All Denmark,"Age, total",Total,2020M10,4.3
All Denmark,"Age, total",Total,2020M11,4.3
All Denmark,"Age, total",Total,2020M12,4.4
All Denmark,"Age, total",Total,2021M01,4.7
All Denmark,"Age, total",Total,2021M02,4.8
All Denmark,"Age, total",Total,2021M03,4.5
All Denmark,"Age, total",Total,2021M04,4.1
All Denmark,"Age, total",Total,2021M05,3.7
All Denmark,"Age, total",Total,2021M06,3.4
All Denmark,"Age, total",Total,2021M07,3.4
All Denmark,"Age, total",Total,2021M08,3.2
All Denmark,"Age, total",Total,2021M09,2.9
All Denmark,"Age, total",Total,2021M10,2.8
All Denmark,"Age, total",Total,2021M11,2.5
All Denmark,"Age, total",Total,2021M12,2.3
All Denmark,"Age, total",Total,2022M01,2.7
All Denmark,"Age, total",Total,2022M02,2.6
All Denmark,"Age, total",Total,2022M03,2.5
All Denmark,"Age, total",Total,2022M04,2.4
All Denmark,"Age, total",Total,2022M05,2.3
All Denmark,"Age, total",Total,2022M06,2.4
All Denmark,"Age, total",Total,2022M07,2.5
All Denmark,"Age, total",Total,2022M08,2.5
All Denmark,"Age, total",Total,2022M09,2.4
All Denmark,"Age, total",Total,2022M10,2.4
All Denmark,"Age, total",Total,2022M11,2.4
All Denmark,"Age, total",Total,2022M12,2.4
All Denmark,"Age, total",Total,2023M01,2.9
All Denmark,"Age, total",Total,2023M02,2.9
All Denmark,"Age, total",Total,2023M03,2.8
All Denmark,"Age, total",Total,2023M04,2.7
All Denmark,"Age, total",Total,2023M05,2.6
All Denmark,"Age, total",Total,2023M06,2.6
All Denmark,"Age, total",Total,2023M07,2.7
All Denmark,"Age, total",Total,2023M08,2.8
All Denmark,"Age, total",Total,2023M09,2.6
All Denmark,"Age, total",Total,2023M10,2.6
All Denmark,"Age, total",Total,2023M11,2.6
All Denmark,"Age, total",Total,2023M12,2.6
All Denmark,"Age, total",Total,2024M01,3.1
All Denmark,"Age, total",Total,2024M02,3.1
All Denmark,"Age, total",Total,2024M03,3.0
All Denmark,"Age, total",Total,2024M04,2.8
All Denmark,"Age, total",Total,2024M05,2.7
All Denmark,"Age, total",Total,2024M06,2.7
All Denmark,"Age, total",Total,2024M07,2.8
All Denmark,"Age, total",Total,2024M08,2.8
All Denmark,"Age, total",Total,2024M09,2.7
All Denmark,"Age, total",Total,2024M10,2.7
All Denmark,"Age, total",Total,2024M11,2.7
All Denmark,"Age, total",Total,2024M12,2.6
All Denmark,"Age, total",Total,2025M01,3.1
All Denmark,"Age, total",Total,2025M02,3.1
All Denmark,"Age, total",Total,2025M03,3.0
All Denmark,"Age, total",Total,2025M04,2.8
All Denmark,"Age, total",Total,2025M05,2.7
All Denmark,"Age, total",Total,2025M06,2.7
All Denmark,"Age, total",Total,2025M07,2.8
All Denmark,"Age, total",Total,2025M08,2.9
All Denmark,"Age, total",Total,2025M09,2.7
All Denmark,"Age, total",Total,2025M10,2.7
All Denmark,"Age, total",Total,2025M11,2.7
All Denmark,"Age, total",Total,2025M12,2.7
All Denmark,"Age, total",Total,2026M01,3.2
All Denmark,"Age, total",Total,2026M02,3.4
All Denmark,"Age, total",Total,2026M03,3.2
All Denmark,"Age, total",Total,2026M04,3.0
All Denmark,"Age, total",Total,2026M05,2.9
All Denmark,"Age, total",Total,2026M06,2.9
